SimulationId,sec
static investment,"1422.31"
"rank","vol it_1","vol it_2","vol it_3","vol it_4","vol it_5","vol it_6","vol it_7","vol it_8","vol it_9","vol it_10",
"71","-19.65","-7.61","-0.22","0.08","16.03","8.92","9.71","0.08","0.77","0.08",
"72","-20.39","-7.61","-1.93","0.08","14.47","8.41","9.09","0.08","0.13","0.08",
"73","-20.99","-9.02","-4.26","0.08","14.05","3.62","1.83","0.08","0.08","0.08",
"74","-21.06","-11.44","-4.67","0.08","12.02","2.54","0.90","0.08","0.08","0.08",
"75","-21.61","-15.16","-6.15","0.08","11.56","0.08","0.08","0.08","0.08","0.08",
"76","-22.05","-15.16","-6.53","0.08","6.80","0.08","0.08","0.08","0.08","0.08",
"77","-22.07","-15.20","-11.71","-0.22","6.00","0.08","0.08","0.08","0.08","0.08",
"78","-22.80","-18.20","-14.21","-1.44","2.54","0.08","0.08","0.08","0.08","0.08",
"79","-23.89","-18.68","-15.05","-2.04","2.32","0.08","0.08","0.08","0.08","0.08",
"80","-26.39","-18.78","-15.16","-5.27","0.08","0.08","0.08","0.08","0.08","0.08",
"81","-26.83","-19.63","-15.81","-6.13","0.08","0.08","0.08","0.08","0.08","0.08",
"82","-27.53","-20.39","-16.61","-6.15","0.08","0.08","0.08","0.08","0.08","0.08",
"83","-27.66","-21.66","-18.20","-7.45","0.08","0.08","0.08","0.08","0.08","0.08",
"84","-27.89","-22.47","-19.63","-8.70","0.08","0.08","0.08","0.08","0.08","0.08",
"85","-28.68","-22.47","-19.65","-10.13","0.08","0.08","0.08","0.08","0.08","0.08",
"86","-28.71","-23.80","-20.39","-11.71","0.08","0.08","0.08","0.08","0.08","0.08",
"87","-28.78","-23.89","-22.07","-13.35","0.08","0.08","0.08","0.08","0.08","0.08",
"88","-35.37","-25.72","-22.08","-15.64","0.08","0.08","0.08","-1.68","0.08","0.08",
"89","-36.28","-27.66","-22.47","-15.81","0.08","0.08","0.08","-2.45","0.08","0.08",
"90","-36.81","-27.86","-22.80","-15.87","0.08","-1.75","0.08","-4.07","0.08","0.08",
"91","-37.25","-28.63","-23.80","-16.61","0.08","-2.03","0.08","-4.26","0.08","0.08",
"92","-38.46","-28.87","-23.89","-17.27","0.08","-3.22","-1.75","-4.68","0.08","0.08",
"93","-38.72","-30.67","-24.71","-17.70","0.08","-4.07","-2.65","-4.92","0.08","0.08",
"94","-39.60","-31.99","-25.05","-18.20","-0.22","-4.90","-4.07","-5.18","0.08","-0.45",
"95","-41.35","-33.82","-27.41","-19.94","-0.56","-5.11","-4.26","-5.48","-0.54","-0.54",
"96","-42.01","-35.37","-28.63","-20.01","-0.88","-5.27","-4.92","-5.89","-0.62","-0.62",
"97","-42.26","-35.65","-30.31","-22.07","-2.05","-6.13","-5.11","-6.13","-0.62","-0.62",
"98","-43.01","-36.51","-31.99","-25.05","-2.06","-6.15","-5.18","-10.50","-0.62","-0.62",
"99","-43.03","-37.25","-33.52","-25.57","-5.27","-6.72","-6.13","-10.90","-1.68","-0.62",
"100","-44.39","-38.29","-33.72","-26.07","-6.13","-7.03","-7.02","-10.92","-2.13","-1.32",
